"nhits","uid","acqres","clinsub","comp_rt","compris2","compris3","compris4","cscal_ex_com","dx_ageA0","etacommunity","etaexprsn","etaprison","exmortmult","expris","g","infclr","infnon","infsub","kA0","muDc","muDn","nonrec","nonsub","p","prisex1","prisex2","prisex3","prog_ageA0","prog_contRate_pri","prog_inprison","relfit","relnon_r","relnon_s","relsub_r","relsub_s","subclin","subnon","succ_strs","t"
21,"78399f6f4e6db5270c70a10adf13eb59",0.011661192,0.694291694,0.719374483,0.000476153,0.002127599,0.002096985,0.919787529,0.256477993,0.432910208,0.512643392,0.759565936,0.167281431,0.204599881,3.953004579,1.787644474,0.173892887,0.05974404,0.988751326,0.031834761,0.041966672,0.193703881,0.267424821,0.219911822,1.160051217,0.969992901,0.95483074,0.871214797,1.583634838,1.063998043,0.730669656,0.058822157,0.008556407,0.052967964,0.00955282,0.798971163,2.014630491,0.414295079,0.83654548
21,"d85f1273f19ede2aae9891628661c2e0",0.010731882,0.696202319,0.730182,0.000531095,0.001910572,0.002131945,1.141448317,0.251042435,0.457316086,0.257597923,0.660746436,0.195670944,0.244567711,4.172558523,2.012348739,0.173288428,0.050306345,0.968108219,0.022693782,0.063886767,0.197143244,0.259538329,0.23786119,1.12432232,0.936147938,1.041690286,0.863174977,1.338973827,1.135568182,0.800399112,0.055016042,0.009728448,0.057393504,0.009797753,0.89198103,2.01375696,0.383953271,0.810859698
21,"146e56d360f6bf5cefc78c22e6c6cd09",0.011947885,0.684580253,0.722015575,0.000518438,0.002148027,0.00187847,1.179745659,0.258585848,0.444424307,0.421067949,0.680187064,0.185619167,0.226494934,4.221553221,1.930241336,0.134172636,0.059013133,0.920102361,0.040994272,0.02669601,0.200010328,0.26337549,0.208360197,1.16363875,0.956968392,1.00641838,0.847472823,1.528037738,1.095131076,0.725657974,0.059243292,0.009854147,0.056994337,0.009673108,0.821064388,1.985405942,0.390730512,0.798929875
21,"935185e9f6c00cebfff60accbcee6b84",0.011693863,0.690209627,0.713140762,0.000532567,0.002086273,0.001956264,1.180987763,0.25919291,0.459564888,0.437162353,0.673973441,0.185238929,0.230889816,4.245134519,1.921384638,0.135439569,0.06068864,0.939836493,0.039430515,0.031060295,0.200860364,0.262653562,0.20764921,1.187690192,0.948867437,1.027321668,0.845977099,1.48085864,1.105602593,0.717459035,0.058676561,0.009948156,0.057017238,0.009538094,0.822414143,2.00057571,0.385100191,0.807993178
21,"9edd9cf61ceb528255d8ff4b2f7d4130",0.011583863,0.71492442,0.715383121,0.000502155,0.002240001,0.002113491,1.213403483,0.258833528,0.439828456,0.475533026,0.76674982,0.220538978,0.225693867,4.150095593,2.137332607,0.151420216,0.062694791,0.96640305,0.036587023,0.00737433,0.203770691,0.262194785,0.221747071,1.191508525,1.057254907,1.024218668,0.858265543,1.525803323,1.103558429,0.722083675,0.058537545,0.009402023,0.058080777,0.009518638,0.80327179,1.999123471,0.359006914,0.832979164
21,"2028edc36ec8ae2d8d894cad66d4e5b1",0.011784872,0.716432662,0.719823473,0.000498806,0.002150577,0.00192774,1.247030456,0.25797771,0.446350885,0.429660445,0.776072768,0.220397144,0.223337463,4.219621418,2.237240633,0.155076661,0.060399687,0.939262292,0.034553754,0.018967122,0.201431869,0.261687358,0.216920312,1.18773972,1.028521559,1.019354744,0.862564628,1.501587402,1.116962161,0.721911548,0.058447993,0.009717955,0.056118426,0.009541503,0.795541088,2.003837914,0.375189396,0.821787969
21,"a306b14317e594706111b67bd613230b",0.011384733,0.703406694,0.736283298,0.000448956,0.002142968,0.002165649,0.950193176,0.257300677,0.437290469,0.436867715,0.734484259,0.168341914,0.222814378,4.151600081,1.767039989,0.162353389,0.059276202,0.98732872,0.032632042,0.030566959,0.193846552,0.262903118,0.226275812,1.164613638,0.998479946,0.978853926,0.851944438,1.611258561,1.053923079,0.732629051,0.05907816,0.009364016,0.057347535,0.009990551,0.809068158,1.966624724,0.38427917,0.847395358
21,"d07808694d726e22ffc5c62bf3cb49de",0.011676901,0.71308317,0.841216656,0.000528917,0.001968797,0.001995993,1.094299168,0.261135484,0.439676683,0.34447606,0.776489331,0.153530369,0.20247785,3.937755446,1.681224523,0.14345868,0.057139624,0.989150809,0.02549218,0.041485483,0.206700725,0.255380224,0.22319643,1.166481178,0.942897326,0.934286544,0.865706357,1.519250365,1.088369435,0.74199225,0.059721938,0.009924717,0.056921936,0.009881803,0.777679391,1.970427297,0.350916425,0.822842287
21,"1bbe570668f818d30babeb0dc124ca18",0.011450223,0.7126982,0.732947922,0.000417426,0.002253384,0.002286726,0.781052758,0.252534222,0.444129153,0.659572581,0.862920643,0.133629203,0.198354908,3.271418901,1.711771178,0.200031926,0.071264367,0.972852724,0.026525613,0.054463894,0.199482735,0.269159778,0.210816628,1.110002294,0.947097919,0.912397559,0.909932562,1.459554392,1.076738047,0.75110244,0.059580994,0.007867776,0.041018086,0.00870461,0.788157475,2.026680904,0.503051127,0.857662147
21,"cffad5aac23b3117ab9aa7474fd2c954",0.011390701,0.681661632,0.704105788,0.000514652,0.001949847,0.002027912,1.166784477,0.251237695,0.464072655,0.341281625,0.681402077,0.162033238,0.230831925,3.980032862,2.050857989,0.16728677,0.059923297,0.943600987,0.042468883,0.008562886,0.196689457,0.263238589,0.252085011,1.094506588,0.947697786,1.013566553,0.84339687,1.397565168,1.118636663,0.793597313,0.05772606,0.009342003,0.059562175,0.009148938,0.835190307,1.965202379,0.372960938,0.776655031
