"nhits","uid","acqres","clinsub","comp_rt","cscal","dx_ageA0","dx_hiv","eta","g","infclr","infnon","infsub","kA0","mortOT_hiv","mort_hiv","mort_hivstrHIVart","muDc","muDn","muHnt","noTart","noTart2010","nonrec","nonsub","p","prog_ageA0","prog_hiv","prog_hivstrHIVart","relfit","relnon_r","relnon_s","relsub_r","relsub_s","subclin","subnon","succ_strs","t","unnoT"
28,"3cb9187c78439f20a5908ce44caaf310",0.009702915,0.700003137,1.917625342,2.831195493,0.865048348,2.940226673,0.798565002,4.056013916,1.69585577,0.093720694,0.04059309,0.994636712,1.192453023,3.118317786,0.345685358,0.295785578,0.023053619,0.031204677,0.36265612,0.339086898,0.188003703,0.24518222,0.20022765,0.760806518,7.490621652,0.22930129,0.898027863,0.055588372,0.001365711,0.04935173,0.005380655,0.766608223,1.666798292,0.361796719,0.79275483,1.023977916
28,"5f18d1e1cbe76799ff0f131fae9d6414",0.010701869,0.696072903,1.955404817,2.741561923,0.848074174,2.77167348,0.815312875,4.048223432,1.614595644,0.094532043,0.042368227,0.977122061,1.193174553,2.880424676,0.377504557,0.309724168,0.006543553,0.03715597,0.394572117,0.245065147,0.186761346,0.239837761,0.198046325,0.747302108,7.512563626,0.222139115,0.886949976,0.057615896,0.004837354,0.052051006,0.00557838,0.790933823,1.659384526,0.364453802,0.804934778,1.018483918
28,"145b8c6772ee987913fc5079c26ed8e7",0.011287867,0.672110671,1.981596242,3.196741742,0.780269513,2.773065016,0.946218634,4.144992067,1.856217024,0.093844544,0.043990882,0.965784092,1.156968893,3.833763672,0.289930403,0.31989585,0.00504184,0.030796084,0.26228229,0.304419109,0.174710789,0.242399132,0.20770289,0.761617919,7.720566442,0.20872852,0.885175111,0.058066341,0.005175956,0.058766495,0.005348008,0.792022593,1.802091037,0.352894578,0.792028768,0.964107422
28,"8a8507fbfb36399966783ec04583d1e8",0.01050563,0.650604416,1.92816898,3.377285131,0.835178722,2.642266326,0.876965327,3.965839614,1.613562105,0.08091833,0.03587186,0.261682268,1.209585355,2.782819051,0.199944363,0.316918789,0.001534165,0.034376397,0.222375911,0.344645371,0.166911923,0.229655501,0.21819028,0.784458568,7.01574794,0.212556457,0.897098639,0.054967068,0.00499254,0.03727581,0.006346129,0.784385779,1.863889605,0.390577059,0.821696969,0.995630644
28,"76f3a4ac762257271d28aa559d51939e",0.009707369,0.658096624,1.965373504,3.200860615,0.821434521,2.736683945,0.814501031,4.134999846,1.633122881,0.105017629,0.024440107,0.784773338,1.26850506,2.739334945,0.364123059,0.312874396,0.005921856,0.034689178,0.389021837,0.27928459,0.188831846,0.239054655,0.233076332,0.781386864,7.385105032,0.237252188,0.896427121,0.052992226,0.004137947,0.026684292,0.005204695,0.828221982,1.738438126,0.351883018,0.821418683,0.944021366
28,"462f054194303154b1771f57895ba90c",0.011603398,0.665887244,1.991542961,3.182540629,0.746242401,2.623875193,0.876959514,4.237372672,1.94662775,0.096755608,0.042057797,0.977786939,1.23055258,3.082696805,0.287521257,0.324168797,0.008480621,0.03886158,0.317689803,0.388188979,0.186787534,0.239217183,0.205663652,0.806805428,7.623068226,0.214031124,0.889586557,0.056736896,0.004497022,0.051677266,0.004973547,0.796916229,1.733706806,0.361852643,0.822529057,1.026885811
28,"f6d3c5cbba579f0130923d288c74ecdd",0.011523454,0.677797217,1.945988452,3.314587453,0.790254827,2.984989733,0.908732728,4.196971146,1.588122633,0.072725012,0.045331821,0.986287186,1.161949916,3.742439739,0.293003149,0.35508098,0.012341027,0.034151064,0.414387283,0.207692209,0.180803757,0.237226213,0.190596047,0.769268976,7.653500051,0.236226697,0.880532795,0.059235053,0.00429432,0.054694214,0.004376419,0.794929111,1.893903637,0.380943296,0.808061323,1.034632361
28,"9dc8bf484c5b17c26162cbee3512ca9f",0.010105366,0.670266756,1.984942005,3.204502247,0.784962054,2.760620167,0.940577368,4.165194869,1.868920834,0.095046502,0.043831282,0.978960933,1.155879086,3.570668368,0.291749741,0.327591466,0.007230627,0.030022971,0.271113262,0.338630885,0.177133621,0.241492775,0.207150429,0.767192121,7.801698144,0.208652369,0.886501007,0.058048776,0.00483228,0.058329704,0.006417819,0.796432034,1.807170946,0.355941909,0.798391108,0.991967237
28,"b27a6b06aafa39c445577b820fe751d9",0.008545007,0.677746817,1.949089011,3.243020082,0.783566766,2.721866629,0.877117913,4.147746199,1.890380111,0.102652212,0.038664443,0.782836757,1.245387253,2.884501783,0.335802067,0.306626634,0.002957428,0.036304655,0.230605648,0.489212232,0.179492246,0.23827442,0.215101079,0.765511875,7.301340782,0.206281067,0.899859025,0.059233267,0.004999789,0.043956608,0.005241929,0.778286415,1.784285313,0.367903755,0.807978609,0.960721929
28,"823fbde2c703bafb0edf7e6745558a22",0.005887393,0.673975303,1.994991456,3.035657362,0.775355573,2.766570269,0.919908417,4.203868033,1.845770493,0.098489865,0.046828684,0.95280716,1.157729922,4.125706349,0.280026826,0.312876596,0.002645645,0.026593944,0.281169364,0.282379833,0.177577466,0.237778496,0.208826505,0.775858023,7.785632008,0.213298829,0.894495741,0.056690335,0.002162066,0.056945414,0.002341311,0.795483719,1.79661222,0.353527028,0.796083819,0.989816062
