YEAR	country	dim	from	to	TB	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80
2021	ZAF	RISK	HIV0	"HIVnt"	NA	0.00236	0	0	0.00282	0.00693	0.00754	0.00676	0.00573	0.0046	0.00338	0.0026	0.00204	0.00159	0.00143	0.00161	0.00057	0
2022	ZAF	RISK	HIV0	"HIVnt"	NA	0.00231	0	0	0.00262	0.00643	0.00691	0.0062	0.00526	0.00424	0.00313	0.00237	0.00187	0.00146	0.00132	0.00148	0.00052	0
2023	ZAF	RISK	HIV0	"HIVnt"	NA	0.00226	0	0	0.00264	0.00649	0.00694	0.00623	0.00527	0.00426	0.00318	0.00237	0.00186	0.00148	0.00134	0.00149	0.00053	0
2024	ZAF	RISK	HIV0	"HIVnt"	NA	0.00223	0	0	0.00265	0.00656	0.007	0.00629	0.00528	0.00428	0.00325	0.00238	0.00185	0.00149	0.00136	0.00151	0.00053	0
2025	ZAF	RISK	HIV0	"HIVnt"	NA	0.00219	0	0	0.00268	0.00664	0.00702	0.00634	0.00526	0.00429	0.00331	0.00239	0.00184	0.0015	0.00138	0.00151	0.00053	0
2026	ZAF	RISK	HIV0	"HIVnt"	NA	0.00215	0	0	0.0027	0.00669	0.00708	0.00635	0.00527	0.0043	0.00336	0.00241	0.00182	0.00149	0.00139	0.00152	0.00053	0
2027	ZAF	RISK	HIV0	"HIVnt"	NA	0.00211	0	0	0.00272	0.00674	0.00715	0.00634	0.00527	0.00431	0.00338	0.00243	0.00181	0.00149	0.00139	0.00153	0.00053	0
2028	ZAF	RISK	HIV0	"HIVnt"	NA	0.00207	0	0	0.0027	0.00679	0.00723	0.00635	0.00529	0.00431	0.00339	0.00246	0.0018	0.00148	0.0014	0.00154	0.00053	0
2029	ZAF	RISK	HIV0	"HIVnt"	NA	0.00205	0	0	0.00272	0.00677	0.0073	0.00637	0.00531	0.0043	0.00339	0.00251	0.0018	0.00147	0.00141	0.00155	0.00052	0
2030	ZAF	RISK	HIV0	"HIVnt"	NA	0.00203	0	0	0.00273	0.00678	0.00739	0.00638	0.00534	0.00427	0.00339	0.00254	0.00181	0.00146	0.00141	0.00157	0.00051	0
