YEAR	country	dim	from	to	TB	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80
1979	ZAF	RISK	HIV0	"HIVnt"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980	ZAF	RISK	HIV0	"HIVnt"	NA	3.00E-05	0	0	0.00003	0.0001	0.00011	0.00011	0.00009	0.00007	0.00005	0.00004	0.00003	0.00002	0.00002	0.00002	0.00001	0
1981	ZAF	RISK	HIV0	"HIVnt"	NA	3.00E-05	0	0	0.00004	0.00011	0.00013	0.00012	0.0001	0.00008	0.00006	0.00004	0.00003	0.00003	0.00003	0.00003	0.00001	0
1982	ZAF	RISK	HIV0	"HIVnt"	NA	4.00E-05	0	0	0.00004	0.00012	0.00014	0.00013	0.00011	0.00009	0.00007	0.00005	0.00004	0.00003	0.00003	0.00003	0.00001	0
1983	ZAF	RISK	HIV0	"HIVnt"	NA	0.00004	0	0	0.00005	0.00013	0.00015	0.00014	0.00012	0.00009	0.00007	0.00005	0.00004	0.00003	0.00003	0.00003	0.00002	0
1984	ZAF	RISK	HIV0	"HIVnt"	NA	0.00005	0	0	0.00005	0.00014	0.00016	0.00015	0.00013	0.0001	0.00008	0.00006	0.00004	0.00003	0.00003	0.00003	0.00002	0
1985	ZAF	RISK	HIV0	"HIVnt"	NA	0.00005	0	0	0.00006	0.00016	0.00018	0.00016	0.00014	0.00011	0.00009	0.00006	0.00004	0.00004	0.00004	0.00004	0.00002	0
1986	ZAF	RISK	HIV0	"HIVnt"	NA	0.0001	0	0	0.00019	0.00053	0.0006	0.00054	0.00046	0.00037	0.00029	0.00021	0.00015	0.00012	0.00012	0.00013	0.00006	0
1987	ZAF	RISK	HIV0	"HIVnt"	NA	0.00022	0	0	0.0005	0.00136	0.00155	0.00139	0.00118	0.00096	0.00074	0.00054	0.00039	0.00032	0.00032	0.00033	0.00016	0
1988	ZAF	RISK	HIV0	"HIVnt"	NA	0.00045	0	0	0.00104	0.00278	0.00321	0.00288	0.00241	0.00197	0.00152	0.00112	0.0008	0.00065	0.00064	0.00067	0.00032	0
1989	ZAF	RISK	HIV0	"HIVnt"	NA	0.00081	0	0	0.00179	0.00479	0.00557	0.005	0.00414	0.00336	0.0026	0.00194	0.00139	0.00111	0.0011	0.00115	0.00054	0
1990	ZAF	RISK	HIV0	"HIVnt"	NA	0.00131	0	0	0.00275	0.00728	0.00851	0.0077	0.00627	0.0051	0.00395	0.00296	0.00214	0.00169	0.00164	0.00175	0.00081	0
1991	ZAF	RISK	HIV0	"HIVnt"	NA	0.00205	0	0	0.00391	0.01025	0.01198	0.01093	0.00882	0.00715	0.00555	0.00418	0.00304	0.00238	0.00227	0.00245	0.00111	0
1992	ZAF	RISK	HIV0	"HIVnt"	NA	0.00296	0	0	0.00514	0.01341	0.0157	0.01448	0.01164	0.00942	0.00735	0.00556	0.00404	0.00313	0.00293	0.0032	0.00141	0
1993	ZAF	RISK	HIV0	"HIVnt"	NA	0.0041	0	0	0.00644	0.01674	0.01948	0.01812	0.0146	0.01169	0.00919	0.00695	0.00507	0.00388	0.00361	0.00399	0.00173	0
1994	ZAF	RISK	HIV0	"HIVnt"	NA	0.00538	0	0	0.00767	0.01989	0.02291	0.0215	0.01741	0.01379	0.01081	0.00822	0.00602	0.00459	0.00423	0.00473	0.00201	0
1995	ZAF	RISK	HIV0	"HIVnt"	NA	0.005	0	0	0.00869	0.02259	0.02574	0.02432	0.01991	0.01557	0.01226	0.00934	0.00685	0.0052	0.00475	0.00535	0.00226	0
1996	ZAF	RISK	HIV0	"HIVnt"	NA	0.005	0	0	0.00954	0.0247	0.02783	0.02635	0.02182	0.01692	0.01332	0.01016	0.00749	0.00567	0.00515	0.00582	0.00244	0
1997	ZAF	RISK	HIV0	"HIVnt"	NA	0.005	0	0	0.0102	0.02633	0.02922	0.02762	0.02306	0.01782	0.01394	0.01066	0.00788	0.006	0.00548	0.00615	0.00257	0
1998	ZAF	RISK	HIV0	"HIVnt"	NA	0.005	0	0	0.01056	0.02713	0.02984	0.02805	0.0237	0.01841	0.01424	0.01096	0.0081	0.0062	0.00563	0.00629	0.00261	0
1999	ZAF	RISK	HIV0	"HIVnt"	NA	0.006	0	0	0.01067	0.02738	0.02983	0.0278	0.02377	0.0186	0.01426	0.01093	0.00813	0.00625	0.00567	0.00628	0.00257	0
2000	ZAF	RISK	HIV0	"HIVnt"	NA	0.007	0	0	0.01056	0.02713	0.02935	0.02704	0.02333	0.01847	0.014	0.01075	0.00801	0.00619	0.00562	0.00616	0.00249	0
2001	ZAF	RISK	HIV0	"HIVnt"	NA	0.008	0	0	0.01022	0.02648	0.02844	0.02592	0.02249	0.018	0.01355	0.01039	0.00776	0.00602	0.00547	0.00594	0.00234	0
2002	ZAF	RISK	HIV0	"HIVnt"	NA	0.01322	0	0	0.00982	0.02547	0.02743	0.02468	0.02145	0.01733	0.01307	0.00995	0.00746	0.0058	0.00527	0.0057	0.00218	0
2003	ZAF	RISK	HIV0	"HIVnt"	NA	0.01385	0	0	0.00946	0.02446	0.02651	0.02356	0.02038	0.01664	0.01263	0.0095	0.00717	0.00556	0.00508	0.00548	0.00203	0
2004	ZAF	RISK	HIV0	"HIVnt"	NA	0.01419	0	0	0.00909	0.0234	0.02567	0.02251	0.01929	0.01593	0.01218	0.00907	0.00681	0.00533	0.00489	0.00527	0.00188	0
2005	ZAF	RISK	HIV0	"HIVnt"	NA	0.014	0	0	0.00873	0.02233	0.02477	0.02153	0.01822	0.01516	0.01172	0.00863	0.0065	0.00509	0.00469	0.00506	0.00175	0
2006	ZAF	RISK	HIV0	"HIVnt"	NA	0.01221	0	0	0.00837	0.02126	0.02391	0.02063	0.01725	0.01441	0.01126	0.00824	0.00619	0.00486	0.00449	0.00486	0.00165	0
2007	ZAF	RISK	HIV0	"HIVnt"	NA	0.01066	0	0	0.00798	0.0203	0.02288	0.01984	0.01636	0.01367	0.01077	0.0079	0.0059	0.00464	0.0043	0.00466	0.00156	0
2008	ZAF	RISK	HIV0	"HIVnt"	NA	0.0093	0	0	0.00764	0.01943	0.0219	0.0192	0.01562	0.01298	0.01033	0.00763	0.00563	0.00445	0.00412	0.00449	0.0015	0
2009	ZAF	RISK	HIV0	"HIVnt"	NA	0.00705	0	0	0.00728	0.01848	0.02084	0.01856	0.01488	0.01225	0.00986	0.00733	0.00535	0.00422	0.00393	0.00429	0.00145	0
2010	ZAF	RISK	HIV0	"HIVnt"	NA	0.00554	0	0	0.00692	0.01744	0.0197	0.01781	0.01415	0.01149	0.00931	0.007	0.00505	0.004	0.00373	0.00408	0.0014	0
2011	ZAF	RISK	HIV0	"HIVnt"	NA	0.00452	0	0	0.00655	0.01647	0.01858	0.01704	0.01344	0.01077	0.00877	0.00666	0.00478	0.00378	0.00353	0.00388	0.00135	0
2012	ZAF	RISK	HIV0	"HIVnt"	NA	0.00389	0	0	0.00614	0.01534	0.01732	0.01592	0.01264	0.00998	0.00813	0.00623	0.00448	0.00352	0.00329	0.00364	0.00129	0
2013	ZAF	RISK	HIV0	"HIVnt"	NA	0.00381	0	0	0.00577	0.01431	0.01608	0.01479	0.01188	0.00925	0.0075	0.00582	0.00421	0.00326	0.00308	0.0034	0.00121	0
2014	ZAF	RISK	HIV0	"HIVnt"	NA	0.00374	0	0	0.00534	0.01317	0.01471	0.01355	0.01107	0.0085	0.00683	0.00537	0.00392	0.00301	0.00282	0.00314	0.00114	0
2015	ZAF	RISK	HIV0	"HIVnt"	NA	0.00354	0	0	0.0049	0.01214	0.0134	0.01239	0.01027	0.00782	0.00622	0.00493	0.00364	0.00276	0.0026	0.0029	0.00106	0
2016	ZAF	RISK	HIV0	"HIVnt"	NA	0.00331	0	0	0.00452	0.0113	0.01241	0.01143	0.00959	0.00722	0.00564	0.00449	0.00336	0.00252	0.00237	0.00265	0.00096	0
2017	ZAF	RISK	HIV0	"HIVnt"	NA	0.00317	0	0	0.004	0.00985	0.01077	0.00993	0.00835	0.00634	0.00489	0.00392	0.00296	0.00222	0.00208	0.00233	0.00084	0
2018	ZAF	RISK	HIV0	"HIVnt"	NA	0.00303	0	0	0.00362	0.00889	0.0097	0.00889	0.00748	0.00575	0.00438	0.00349	0.00267	0.00201	0.00186	0.00211	0.00076	0
2019	ZAF	RISK	HIV0	"HIVnt"	NA	0.00279	0	0	0.00324	0.00799	0.0087	0.00791	0.00667	0.00521	0.00391	0.00309	0.00239	0.00182	0.00167	0.00188	0.00067	0
2020	ZAF	RISK	HIV0	"HIVnt"	NA	0.00259	0	0	0.00305	0.00748	0.0082	0.00736	0.00624	0.00495	0.00367	0.00286	0.00223	0.00172	0.00156	0.00176	0.00062	0
