country,year,xVXa,xSES,xRISK,xHIV,xTB,xtype ,xcause,yVXa,ySES,yRISK,yHIV,yTB,ytype,ycause,fn,age_from,age_thru,value,lo,hi,err,name,type,orig_err
IND,2015.5,NA,NA,all,NA,"Dn_dead, Dc_dead",count,NA,NA,NA,all,NA,all,stock,NA,1e5*x/y,0,99,32,25,40,7.5,TB_mort_0_99,inci,7.5
IND,2019.5,NA,NA,all,NA,"Dn_dead, Dc_dead",count,NA,NA,NA,all,NA,all,stock,NA,1e5*x/y,0,99,25,19,31,6,TB_mort_0_99,inci,6
IND,2000.5,NA,NA,all,NA,"Not_N_count, Not_P_count",count,NA,NA,NA,all,NA,all,stock,NA,1e5*x/y,0,99,177,106.2,247,70.4,TB_not_0_99,inci,70.4
IND,2022.5,NA,NA,all,NA,"Not_N_count, Not_P_count",count,NA,NA,NA,all,NA,all,stock,NA,1e5*x/y,0,99,182,145,218,36.5,TB_not_0_99,inci,36.5
IND,2022.5,NA,NA,all,NA,"Not_N_count, Not_P_count",count,NA,NA,NA,all,NA,all,stock,NA,1e5*x/y,0,14,41.74,33.39,50.09,8.35,TB_not_0_14,inci,8.35
IND,2022.5,NA,NA,all,NA,"Not_N_count, Not_P_count",count,NA,NA,NA,all,NA,all,stock,NA,1e5*x/y,15,99,232.93,186.35,279.52,46.59,TB_not_15_99,inci,46.59
IND,2015.5,NA,NA,all,NA,"Ds_s_N, Ds_r_N, Ds_s_P, Ds_r_P, Dc_s_N, Dc_r_N, Dc_s_P, Dc_r_P",stock,NA,NA,NA,all,NA,all,stock,NA,1e5*x/(0.88*0.819)/y,0,99,315,210.8,529,159.1,TB_prev_0_99,prev,159.1
IND,2021.5,NA,NA,all,NA,"Ds_s_N, Ds_r_N, Ds_s_P, Ds_r_P, Dc_s_N, Dc_r_N, Dc_s_P, Dc_r_P",stock,NA,NA,NA,all,NA,all,stock,NA,1e5*x/(0.88*0.819)/y,0,99,312,218.4,405.6,93.6,TB_prev_0_99,prev,93.6
IND,2021.5,NA,NA,all,NA,"Ds_s_N, Ds_r_N, Ds_s_P, Ds_r_P",stock,NA,NA,NA,all,NA,"Ds_s_N, Ds_r_N, Ds_s_P, Ds_r_P, Dc_s_N, Dc_r_N, Dc_s_P, Dc_r_P",stock,NA,100*x/y,0,99,50.4,36.1,79.7,21.8,Ds_pct,ratio,21.8
IND,2000.5,NA,NA,all,NA,Inc_Dc_count,count,NA,NA,NA,all,NA,all,stock,NA,(1e5*x*0.86)/0.819/y,0,99,322,110,644,267,TB_inc_0_99,inci,267
IND,2022.5,NA,NA,all,NA,Inc_Dc_count,count,NA,NA,NA,all,NA,all,stock,NA,(1e5*x*0.86)/0.819/y,0,99,199,170,231,30.5,TB_inc_0_99,inci,30.5
IND,2022.5,NA,NA,all,NA,Inc_Dc_count,count,NA,NA,NA,all,NA,all,stock,NA,(1e5*x*0.86)/0.819/y,0,14,90,75.4,107.6,16.1,TB_inc_0_14,inci,16.1
IND,2022.5,NA,NA,all,NA,Inc_Dc_count,count,NA,NA,NA,all,NA,all,stock,NA,(1e5*x*0.86)/0.819/y,15,99,237,196.2,279.1,41.5,TB_inc_15_99,inci,41.5
IND,2022.5,NA,NA,all,NA,"MDR_N_count, MDR_P_count",count,NA,NA,NA,all,NA,"Not_N_count, Not_P_count",count,NA,100*x/y,0,99,4,3.2,4.8,0.8,MDR_0_99,ratio,0.8
IND,2022.5,NA,NA,"mild,moderate",NA,all,stock,NA,NA,NA,all,NA,all,stock,NA,x/y,0,99,1,0,2,1,Pe,ratio,1
IND,2022.5,NA,NA,"mild,moderate",NA,Inc_Dc_count,count,NA,NA,NA,"mild,moderate",NA,all,stock,NA,x/y,0,99,1,0,2,1,Inc_low,ratio,1
IND,2022.5,NA,NA,"normal,over",NA,Inc_Dc_count,count,NA,NA,NA,"normal,over",NA,all,stock,NA,x/y,0,99,1,0,2,1,Inc_norm,ratio,1
IND,2022.5,,,,,,Pe,Inc_low,,,,,,,Inc_norm,x*(a/b-1)/(x*(a/b-1)+1),0,99,0.45,0.17,0.71,0.27,PAF,ratio,0.27
